    Port 1 

      Frequency(/s)      R(Ohm)         L(H)
   1.00000000E+00  5.48765048E-03  3.80877545E-08 
   1.25892541E+00  5.48765048E-03  3.80877545E-08 
   1.58489319E+00  5.48765048E-03  3.80877545E-08 
   1.99526231E+00  5.48765048E-03  3.80877545E-08 
   2.51188643E+00  5.48765048E-03  3.80877545E-08 
   3.16227766E+00  5.48765048E-03  3.80877545E-08 
   3.98107171E+00  5.48765048E-03  3.80877545E-08 
   5.01187234E+00  5.48765048E-03  3.80877545E-08 
   6.30957344E+00  5.48765048E-03  3.80877545E-08 
   7.94328235E+00  5.48765048E-03  3.80877545E-08 
   1.00000000E+01  5.48765048E-03  3.80877545E-08 
   1.25892541E+01  5.48765048E-03  3.80877545E-08 
   1.58489319E+01  5.48765048E-03  3.80877545E-08 
   1.99526231E+01  5.48765048E-03  3.80877545E-08 
   2.51188643E+01  5.48765048E-03  3.80877545E-08 
   3.16227766E+01  5.48765048E-03  3.80877545E-08 
   3.98107171E+01  5.48765048E-03  3.80877545E-08 
   5.01187234E+01  5.48765048E-03  3.80877545E-08 
   6.30957344E+01  5.48765048E-03  3.80877545E-08 
   7.94328235E+01  5.48765048E-03  3.80877545E-08 
   1.00000000E+02  5.48765048E-03  3.80877545E-08 
   1.25892541E+02  5.48765048E-03  3.80877545E-08 
   1.58489319E+02  5.48765048E-03  3.80877545E-08 
   1.99526231E+02  5.48765048E-03  3.80877545E-08 
   2.51188643E+02  5.48765048E-03  3.80877545E-08 
   3.16227766E+02  5.48765048E-03  3.80877545E-08 
   3.98107171E+02  5.48765048E-03  3.80877545E-08 
   5.01187234E+02  5.48765048E-03  3.80877545E-08 
   6.30957344E+02  5.48765048E-03  3.80877545E-08 
   7.94328235E+02  5.48765048E-03  3.80877545E-08 
   1.00000000E+03  5.48765048E-03  3.80877545E-08 
   1.25892541E+03  5.48765048E-03  3.80877545E-08 
   1.58489319E+03  5.48765048E-03  3.80877545E-08 
   1.99526231E+03  5.48765048E-03  3.80877545E-08 
   2.51188643E+03  5.48765048E-03  3.80877545E-08 
   3.16227766E+03  5.48765048E-03  3.80877545E-08 
   3.98107171E+03  5.48765048E-03  3.80877545E-08 
   5.01187234E+03  5.48765048E-03  3.80877545E-08 
   6.30957344E+03  5.48765048E-03  3.80877545E-08 
   7.94328235E+03  5.48765048E-03  3.80877545E-08 
   1.00000000E+04  5.48765048E-03  3.80877545E-08 
   1.25892541E+04  5.48765048E-03  3.80877545E-08 
   1.58489319E+04  5.48765048E-03  3.80877545E-08 
   1.99526231E+04  5.48765048E-03  3.80877545E-08 
   2.51188643E+04  5.48765048E-03  3.80877545E-08 
   3.16227766E+04  5.48765048E-03  3.80877545E-08 
   3.98107171E+04  5.48765048E-03  3.80877545E-08 
   5.01187234E+04  5.48765048E-03  3.80877545E-08 
   6.30957344E+04  5.48765048E-03  3.80877545E-08 
   7.94328235E+04  5.48765048E-03  3.80877545E-08 
   1.00000000E+05  5.48765048E-03  3.80877545E-08 
   1.25892541E+05  5.48765048E-03  3.80877545E-08 
   1.58489319E+05  5.48765048E-03  3.80877545E-08 
   1.99526231E+05  5.48765048E-03  3.80877545E-08 
   2.51188643E+05  5.48765048E-03  3.80877545E-08 
   3.16227766E+05  5.48765048E-03  3.80877545E-08 
   3.98107171E+05  5.48765048E-03  3.80877545E-08 
   5.01187234E+05  5.48765048E-03  3.80877545E-08 
   6.30957344E+05  5.48765048E-03  3.80877545E-08 
   7.94328235E+05  5.48765048E-03  3.80877545E-08 
   1.00000000E+06  5.48765048E-03  3.80877545E-08 
