t    f(t)
begin
0.0  58.9406925429854
5.55555E-6  59.041792273822594
1.11111E-5  32.7332702962381
1.6666649999999997E-5  33.10530840577148
2.22222E-5  33.682655131781836
2.777775E-5  34.07720383004499
3.3333299999999995E-5  34.167234595787576
3.8888849999999996E-5  34.55308737000054
4.44444E-5  34.904184035077556
4.999995E-5  35.754919629221995
5.55555E-5  58.940730032112
6.111105E-5  57.83787534849374
6.666659999999999E-5  58.09226495513293
7.222215E-5  58.31753070262764
7.777769999999999E-5  58.09323244184053
8.333325E-5  33.76092514563674
8.88888E-5  33.55892024416355
9.444434999999999E-5  33.6345062169737
9.99999E-5  33.29549295272
1.0555544999999999E-4  33.344862286166496
1.11111E-4  31.479880636801624
1.1666655E-4  55.38347606007102
1.222221E-4  55.3674910705264
1.2777764999999998E-4  55.350789329847856
1.3333319999999998E-4  55.294246687306156
1.3888875E-4  55.291597257799786
1.444443E-4  54.97722110649932
1.4999985E-4  30.55189678814633
1.5555539999999998E-4  30.284870324992173
1.6111094999999998E-4  29.60986491768573
1.666665E-4  28.1189786654113
1.7222205E-4  27.853033486239497
1.777776E-4  27.559380525832324
1.8333314999999998E-4  27.094548408505375
1.8888869999999998E-4  26.95490314996245
1.9444425E-4  50.52002369796785
1.999998E-4  50.43435279979378
2.0555535E-4  49.86118246812807
2.1111089999999998E-4  49.39449985152029
2.1666644999999998E-4  48.81678471860855
2.22222E-4  22.389383269875534
2.2777755E-4  22.10598966038694
2.333331E-4  21.98328552582008
2.3888864999999998E-4  21.81396382438885
2.444442E-4  21.73874958559776
2.4999975E-4  21.750386705533014
2.5555529999999997E-4  45.441177744766655
2.6111084999999996E-4  45.22337440269599
2.6666639999999996E-4  45.018568834864
2.7222195E-4  44.457954591537266
2.777775E-4  42.246479429621836
2.8333305E-4  18.242213770390958
2.888886E-4  18.04538446275398
2.9444415E-4  17.684762273535906
2.999997E-4  17.354842493486718
3.0555525E-4  17.11631932532629
3.1111079999999997E-4  16.525595432915082
3.1666634999999996E-4  16.214553429186807
3.2222189999999996E-4  16.083272656472378
3.2777745E-4  14.894050811525087
3.33333E-4  37.46333761897377
3.3888855E-4  37.07091956342688
3.444441E-4  36.5458707709968
3.4999965E-4  36.292077790489074
3.555552E-4  35.80432832039036
3.6111075E-4  11.46342615081305
3.6666629999999997E-4  11.161397943193924
3.7222184999999996E-4  10.944257397896102
3.7777739999999996E-4  10.871021426503203
3.8333294999999995E-4  9.554337036880431
3.888885E-4  8.802215653197907
3.9444405E-4  32.37835071994143
3.999996E-4  31.97990520046809
4.0555515E-4  31.92216305758232
4.111107E-4  31.808410317779188
4.1666625E-4  31.49866991174393
4.2222179999999997E-4  7.722753556871616
4.2777734999999996E-4  7.682819227422156
