t    f(t)
begin
6.333326999999999E-4  -87.8542193410218
6.3888825E-4  -59.660234437351214
6.444437999999999E-4  -59.422379299301134
6.4999935E-4  -59.775472087763816
6.555549E-4  -60.279014326777805
6.6111045E-4  -60.62473497197334
6.66666E-4  -58.33907970288973
6.722215499999999E-4  -86.833333326786
6.777771E-4  -86.63691601309219
6.833326499999999E-4  -86.76204314419887
6.888882E-4  -86.87488626546022
6.944437499999999E-4  -86.60291820608826
6.999993E-4  -70.54310404520314
7.055548499999999E-4  -58.41254971093258
7.111104E-4  -58.5757136683535
7.1666595E-4  -58.60453539109513
7.222215E-4  -56.59061858349991
7.2777705E-4  -56.45491290298881
7.333325999999999E-4  -56.654033987214675
7.3888815E-4  -56.74525070499335
7.444436999999999E-4  -56.76212379622336
7.4999925E-4  -69.9377205253231
7.555547999999999E-4  -85.56654638998373
7.6111035E-4  -85.65208629775837
7.666658999999999E-4  -85.8324445161582
7.7222145E-4  -85.74767259876374
7.77777E-4  -53.81030526036084
7.833325499999999E-4  -53.75801491996853
7.888881E-4  -53.63585833598156
7.944436499999999E-4  -53.762868268203306
7.999992E-4  -54.182228955765396
8.055547499999999E-4  -54.85501736177487
8.111103E-4  -84.20009061777475
8.166658499999999E-4  -84.55147917567479
8.222214E-4  -84.77949226373363
8.277769499999999E-4  -84.5410100711423
8.333325E-4  -66.77991546110759
8.3888805E-4  -67.0194499433234
8.444435999999999E-4  -52.90132252053322
8.4999915E-4  -53.115390547478334
8.555546999999999E-4  -53.18024652704262
8.6111025E-4  -53.48154731701742
8.666657999999999E-4  -53.57630314830693
8.7222135E-4  -53.320581682919624
8.777768999999999E-4  -53.60191084125484
8.8333245E-4  -68.4841268128415
8.88888E-4  -65.05540810796883
8.944435499999999E-4  -79.37767443525122
8.999991E-4  -79.49999656059855
9.055546499999999E-4  -79.65641004185584
9.111102E-4  -79.29888170222297
9.166657499999999E-4  -49.533718003822194
9.222213E-4  -49.3648702983674
9.277768499999999E-4  -49.484498329639074
9.333324E-4  -49.74401699783897
9.388879499999999E-4  -49.52489664486101
9.444435E-4  -46.73703806554401
9.4999905E-4  -76.26515785658177
9.555545999999999E-4  -76.39078242863562
9.6111015E-4  -76.87418548177614
9.666656999999999E-4  -77.36261303310357
9.7222125E-4  -65.06169724237209
9.777768E-4  -65.44569227434897
9.833323499999999E-4  -49.39477227634774
9.888879E-4  -49.585033537829325
9.9444345E-4  -50.162856277349206
9.99999E-4  -46.1410645971874
0.0010055545499999998  -46.620385677171555
0.0010111101  -47.02180241468862
0.00101666565  -48.03320010826813
0.0010222211999999999  -66.36684673045951
0.00102777675  -67.07201911801812
0.0010333323  -68.12679691067754
0.00103888785  -80.56776131283203
0.0010444433999999999  -81.35059637946333
0.00104999895  -81.89926538747291
0.0010555545  -49.69474935231892
0.0010611100499999999  -50.4009940549589
0.0010666655999999998  -51.16339951932452
0.00107222115  -52.11326732306943
0.0010777767  -52.587403836549406
0.0010833322499999999  -53.1866845416552
0.0010888878  -82.88963607078797
0.00109444335  -82.8404163064984
0.0010999989  -83.2980167500421
0.0011055544499999998  -84.13568098441284
0.00111111  -71.2374862427359
0.00111666555  -72.05720193764073
0.0011222210999999999  -53.10820901399179
0.00112777665  -53.652501034380265
0.0011333322  -54.15917811285833
0.00113888775  -54.52521058577737
0.0011444432999999999  -54.89155717792534
0.00114999885  -54.94896871152004
0.0011555544  -55.37959928998969
0.00116110995  -76.71208471530431
0.0011666654999999998  -74.1495264570685
0.00117222105  -74.6905180723336
0.0011777766  -83.59222049354847
0.0011833321499999999  -83.60995981983031
0.0011888877  -83.61957600863583
0.00119444325  -54.86718188910149
0.0011999988  -55.09138529265701
0.0012055543499999999  -55.2960251637517
0.0012111099  -55.1955536395712
0.00121666545  -55.53190769398246
0.001222221  -52.82888348298116
0.0012277765499999998  -53.138487446698385
0.0012333321  -82.03899974126995
0.00123888765  -82.15959042567425
0.0012444431999999999  -81.85766836789944
0.00124999875  -73.35922805492402
0.0012555543  -73.36893278446912
0.00126110985  -73.05714379525912
0.0012666653999999999  -51.65420911438421
0.00127222095  -51.983386628098216
0.0012777765  -49.65310964037514
0.00128333205  -49.207655876228685
0.0012888875999999998  -49.29951705733405
0.00129444315  -49.398322514958835
0.0012999987  -70.36988125205434
0.0013055542499999999  -70.1530691819387
0.0013111098  -69.956442110098
0.00131666535  -76.78685227690761
0.0013222209  -76.4391602053716
0.0013277764499999998  -76.43828412183686
0.001333332  -44.93029347775317
0.00133888755  -44.575793454684394
0.0013444430999999999  -44.422154112061165
0.0013499986499999998  -44.09627425633498
0.0013555542  -43.629086528468285
0.00136110975  -43.41316621213855
0.0013666652999999999  -43.49959484010176
0.00137222085  -71.79293927246256
0.0013777764  -71.67279706758383
0.00138333195  -65.37583247117655
0.0013888874999999998  -62.326319562587635
0.00139444305  -62.24308090298736
0.0013999986  -61.886814188286586
0.0014055541499999999  -39.750142416893496
0.0014111096999999998  -39.64024613566392
0.00141666525  -39.56953375616862
0.0014222208  -39.55367056159157
0.0014277763499999999  -39.3224144373171
0.0014333319  -39.27726774583589
0.00143888745  -60.89999063318411
0.001444443  -57.77713291911044
0.0014499985499999998  -57.69207146247511
0.0014555541  -63.339604122288044
0.00146110965  -63.048791828230826
0.0014666651999999999  -62.310701404617774
0.0014722207499999998  -33.82758677804465
0.0014777763  -33.46147357964852
0.00148333185  -33.343560626520734
0.0014888873999999999  -33.06017869336993
0.00149444295  -32.6203836071222
0.0014999985  -30.004538958544444
0.00150555405  -30.363266710514132
0.0015111095999999998  -58.38990424316493
0.00151666515  -58.483963469180566
0.0015222207  -53.452116842674585
0.0015277762499999999  -53.50693321840286
0.0015333317999999998  -53.55094738276152
0.00153888735  -53.8225371777813
0.0015444429  -30.985424523667852
0.0015499984499999999  -30.812172100508896
0.001555554  -28.218141225358092
0.00156110955  -28.481611307927086
0.0015666650999999999  -28.913867119010764
0.0015722206499999998  -29.382089689687138
0.0015777762  -52.72808115923421
0.00158333175  -53.10636499549808
0.0015888872999999999  -53.86072298653291
0.0015944428499999998  -54.3996277444691
0.0015999984  -59.0866744380625
0.00160555395  -58.75171820334297
0.0016111094999999998  -29.740298153973352
0.00161666505  -30.31108513095793
0.0016222206  -30.907982353707716
0.0016277761499999999  -31.51254004863052
0.0016333316999999998  -32.18987651251424
0.00163888725  -32.62360843011379
0.0016444428  -33.78174052814134
0.0016499983499999999  -60.821847708858634
0.0016555538999999998  -60.8712833434014
0.00166110945  -58.39044646695156
0.001666665  -56.781005157346975
0.0016722205499999998  -57.28555680368034
0.0016777761  -57.32513030394658
0.00168333165  -33.663790815407
0.0016888871999999999  -34.09828007763859
0.0016944427499999998  -34.2617883128314
0.0016999983  -34.57333917808799
0.00170555385  -34.93955010375527
0.0017111093999999999  -35.56696030627228
0.0017166649499999998  -60.2184979542462
0.0017222205  -57.963550548278405
0.00172777605  -58.30702787898748
0.0017333315999999998  -58.36645265074131
0.00173888715  -59.29634375925559
0.0017444427  -34.10995047758231
0.0017499982499999999  -34.04648466673915
0.0017555537999999998  -33.767667994541135
0.00176110935  -33.58484185733831
0.0017666649  -33.40448922533012
0.0017722204499999999  -33.492021897263555
0.001777776  -31.470135517300736
0.00178333155  -31.55432151976285
0.0017888870999999999  -56.16198059209293
0.0017944426499999998  -55.548223662369836
0.0017999982  -55.47459905925044
0.00180555375  -55.23238059399976
0.0018111092999999999  -55.072166428707575
0.0018166648499999998  -54.71813275993997
0.0018222204  -30.360771297600905
0.00182777595  -29.82105116745414
0.0018333314999999998  -28.36745572131425
0.00183888705  -27.90709113599527
0.0018444426  -27.627099004880925
0.0018499981499999999  -27.44698651612659
0.0018555536999999998  -51.22965182170058
0.00186110925  -50.94382274027473
0.0018666648  -50.4919936672619
0.0018722203499999999  -49.848809840771295
0.0018777758999999998  -48.654027630007775
0.00188333145  -24.91023906552104
0.001888887  -22.60565163312135
0.0018944425499999998  -22.20939437505203
0.0018999981  -21.8968555298106
0.00190555365  -21.72661948651483
0.0019111091999999999  -21.74867277963606
0.0019166647499999998  -21.643864140770415
0.0019222203  -21.54439488322521
0.00192777585  -21.543870103215752
0.0019333313999999999  -45.21384951979916
0.0019388869499999998  -44.527856837062366
0.0019444425  -42.61918741030624
0.00194999805  -42.43516586260584
0.0019555536  -42.032831356042315
0.0019611091499999998  -17.936685348944742
0.0019666646999999997  -17.67471876100414
0.00197222025  -17.268993862972117
0.0019777758  -16.674733135643507
0.00198333135  -16.37605309594064
0.0019888869  -16.295707871582216
0.00199444245  -38.918884517635014
0.001999998  -37.538890918285794
0.0020055535499999997  -37.10329242729567
0.0020111090999999997  -36.71242708846077
0.00201666465  -36.255252998306545
0.0020222202  -12.029143387583563
0.00202777575  -11.591095333401354
0.0020333313  -11.224619976597129
0.00203888685  -11.08141271209581
0.0020444423999999998  -10.941657969211187
0.0020499979499999997  -9.672569074907287
0.0020555535  -8.570921798046479
0.00206110905  -8.165967533999677
0.0020666646  -8.26329081554456
0.00207222015  -31.95841219017297
0.0020777757  -31.83311823755419
0.0020833312499999998  -31.84593545642478
0.0020888867999999997  -31.802411471829366
0.00209444235  -31.493091344197364
0.0020999979  -7.8079004825777005
0.00210555345  -6.927367314100511
0.002111109  -5.876868692976254
0.00211666455  -5.907227266367292
0.0021222200999999998  -6.080019705187835
0.0021277756499999997  -6.587106102264803
0.0021333311999999997  -30.3890294529772
0.00213888675  -30.858011740829763
0.0021444423  -31.374383504862955
0.00214999785  -31.734585722257282
