B\P	 -10	0	1	10	20
0	0	0	0	0	0
0.1	0.10746	0.08	0.02	0.0072	-0.001
0.2	0.42336	0.32	0.08	0.0288	-0.002
0.3	0.92826	0.72	0.18	0.0648	-0.004
0.4	1.58976	1.28	0.32	0.1152	-0.01
0.5	2.3625	1.92	0.5	0.18	-0.02
0.6	3.18816	2.56	0.75	0.25	-0.05
0.7	3.99546	3.2	1	0.3	-0.08
0.8	4.70016	3.84	1.25	0.35	-0.1
0.9	5.20506	4.4	1.5	0.39	-0.15
1	5.4	4.8	1.75	0.4	-0.2
1.1	5.16186	4.96	2	0.44	-0.3
1.2	4.35456	4.88	2.25	0.43	-0.45
1.3	2.82906	4.4	2.4	0.4	-0.6
1.4	0.42336	3.52	2.55	0.33	-0.8
1.5	-3.0375	2	2.6	0.2	-1.2
1.6	-4.8	-0.32	2.6	0	-1.6
1.7	-6.4	-2.4	2.45	-0.3	-2.2
1.8	-7.2	-4	2.2	-0.6	-3
1.9	-7.84	-4.8	1.9	-1	-4
2	-8	-5.2	1	-1.5	-5
end
