BH curve for Belahcen material

  H		B
==================================
stress=0
begin
0.00000000            0.00000000
87.28560000            0.85000000
91.76370000            0.90000000
   96.81940000            0.95000000
  102.84820000            1.00000000
  109.99970000            1.05000000
  118.83560000            1.10000000
  130.24760000            1.15000000
  144.72580000            1.20000000
  164.81520000            1.25000000
  193.26520000            1.30000000
  236.40490000            1.35000000
  306.94270000            1.40000000
  432.38220000            1.45000000
  677.76400000            1.50000000
  1150.24710000            1.55000000
  1953.47360000            1.60000000
  3137.70100000            1.65000000
  4699.22660000            1.70000000
  6638.37800000            1.75000000
  8995.22220000            1.80000000
  11860.04380000            1.85000000
  15402.48650000            1.90000000
  19927.42420000            1.95000000
  26369.28310000            2.00000000
  39075.48820000            2.05000000
  58618.31770000            2.10000000
  84990.77860000            2.15000000
  118192.87080000            2.20000000
  157245.08380000            2.25000000
  197033.81960000            2.30000000
  236822.55530000            2.35000000
  276611.29110000            2.40000000
  316400.02690000            2.45000000
  356188.76270000            2.50000000
  395977.49840000            2.55000000
  435766.23420000            2.60000000
  475554.97000000            2.65000000
  515343.70580000            2.70000000
  555132.44150000            2.75000000
  594921.17730000            2.80000000
  634709.91310000            2.85000000
  674498.64890000            2.90000000
  714287.38460000            2.95000000
  754076.12040000            3.00000000

end


