t	i
begin
0	-0.00985376
1.11111E-06	0.098173588
2.2222E-06	0.084772433
3.33333E-06	0.194866915
4.4444E-06	0.30259492
5.55556E-06	0.411369303
6.6666E-06	0.520064633
7.77778E-06	0.629113246
8.8888E-06	0.739255563
1E-05	0.779469751
0.000011111	0.821508015
1.22222E-05	0.808594858
1.33332E-05	0.796361994
1.44444E-05	0.784439048
1.55554E-05	0.772793527
1.66667E-05	0.816104898
1.77776E-05	0.859232437
1.88889E-05	0.971373445
1.99998E-05	1.081560023
2.11111E-05	1.189342116
0.000022222	1.300076139
2.33333E-05	1.410279152
2.44442E-05	1.519535042
2.55556E-05	1.505636754
2.66664E-05	1.615972256
2.77778E-05	1.723290552
2.88886E-05	1.829540455
3E-05	1.935617223
3.11108E-05	2.041832891
3.22222E-05	2.085380019
0.000033333	2.13055253
3.44444E-05	2.176398074
3.55552E-05	2.162492692
3.66667E-05	2.149748478
3.77774E-05	2.137166907
3.88889E-05	2.184675518
3.99996E-05	2.231484766
4.11111E-05	2.278424952
4.22218E-05	2.389207587
4.33333E-05	2.49907155
0.000044444	2.609046508
4.55556E-05	2.71931079
4.66662E-05	2.82976107
4.77778E-05	2.813895373
4.88884E-05	2.926375219
5E-05	3.036573197
5.11106E-05	3.146592781
5.22222E-05	3.254916699
5.33328E-05	3.362300862
5.44444E-05	3.468426018
0.000055555	3.51551058
5.66667E-05	3.563787414
5.77772E-05	3.54673797
5.88889E-05	3.53176872
5.99994E-05	3.517116998
6.11111E-05	3.502674952
6.22216E-05	3.55396622
6.33333E-05	3.604413375
6.44438E-05	3.711263412
6.55555E-05	3.816445439
0.000066666	3.922212297
6.77778E-05	4.028359824
6.88882E-05	4.134445085
7E-05	4.116875318
7.11104E-05	4.101112943
7.22222E-05	4.208599128
7.33326E-05	4.313534328
7.44444E-05	4.417940974
7.55548E-05	4.522202051
7.66667E-05	4.62645988
0.000077777	4.677856573
7.88889E-05	4.730173106
7.99992E-05	4.782690799
8.11111E-05	4.763355555
8.22214E-05	4.747538119
8.33333E-05	4.731914388
8.44436E-05	4.786222
8.55555E-05	4.84033749
8.66658E-05	4.946526981
8.77778E-05	5.052216653
0.000088888	5.157683339
9E-05	5.262834783
9.11102E-05	5.367646307
9.22222E-05	5.47116618
9.33324E-05	5.45355453
9.44444E-05	5.557114887
9.55546E-05	5.658094974
9.66667E-05	5.758218072
9.77768E-05	5.857450117
9.88889E-05	5.955824486
0.000099999	6.053804387
0.000101111	6.105331114
0.000102221	6.157887414
0.000103333	6.13931685
0.000104443	6.121403794
0.000105556	6.103680982
0.000106666	6.086090193
0.000107778	6.139596151
0.000108888	6.192630028
0.00011	6.291281889
0.00011111	6.388694023
0.000112222	6.48540234
0.000113332	6.581592323
0.000114444	6.677163205
0.000115554	6.656908544
0.000116667	6.638339423
0.000117777	6.734251541
0.000118889	6.827325661
0.000119999	6.918601569
0.000121111	7.008776605
0.000122221	7.098380626
0.000123333	7.148487601
0.000124443	7.200040912
0.000125556	7.179802554
0.000126665	7.160223879
0.000127778	7.140843593
0.000128888	7.121612311
0.00013	7.174375854
0.00013111	7.226862161
0.000132222	7.317805741
0.000133332	7.406950996
0.000134444	7.495614774
0.000135554	7.583598748
0.000136667	7.669043916
0.000137776	7.752412736
0.000138889	7.729936842
0.000139999	7.812299294
0.000141111	7.891557723
0.000142221	7.965861165
0.000143333	8.044474175
0.000144443	8.122841581
0.000145556	8.200700793
0.000146665	8.249708899
0.000147778	8.299885298
0.000148887	8.278634554
0.00015	8.257900277
0.00015111	8.237323779
0.000152222	8.216879652
0.000153332	8.267816254
0.000154444	8.318205702
0.000155554	8.395510627
0.000156667	8.471106206
0.000157776	8.545758771
0.000158889	8.619111648
0.000159998	8.692156618
0.000161111	8.669363512
0.000162221	8.647921112
0.000163333	8.722076355
0.000164443	8.794873258
0.000165556	8.866822122
0.000166665	8.937843499
0.000167778	9.006938644
0.000168887	9.054599097
0.00017	9.102717577
0.000171109	9.080071928
0.000172222	9.057813317
0.000173332	9.03568616
0.000174444	9.013685371
0.000175554	9.06231463
0.000176667	9.110624023
0.000177776	9.177203862
0.000178889	9.242336393
0.000179998	9.307134743
0.000181111	9.371541818
0.00018222	9.435515542
0.000183333	9.498832795
0.000184443	9.474852242
0.000185556	9.538125621
0.000186665	9.600071207
0.000187778	9.661614858
0.000188887	9.722638865
0.00019	9.782764705
0.000191109	9.842337986
0.000192222	9.888139818
0.000193331	9.934391357
0.000194444	9.909882929
0.000195554	9.885839173
0.000196667	9.861973771
0.000197776	9.838276664
0.000198889	9.885278361
0.000199998	9.944347324
0.000201111	10.00255863
0.00020222	10.05786753
0.000203333	10.11654305
0.000204442	10.1747266
0.000205556	10.23193877
0.000206665	10.20742102
0.000207778	10.26430118
0.000208887	10.31942647
0.00021	10.3742227
0.000211109	10.42872074
0.000212222	10.4827931
0.000213331	10.53644509
0.000214444	10.5894993
0.000215553	10.63460437
0.000216667	10.60905587
0.000217776	10.58400778
0.000218889	10.55913607
0.000219998	10.53441853
0.000221111	10.58072028
0.00022222	10.62669329
0.000223333	10.67956561
0.000224442	10.73138584
0.000225556	10.78221355
0.000226664	10.83239263
0.000227778	10.88178964
0.000228887	10.93095372
0.00023	10.90444988
0.000231109	10.95415299
0.000232222	11.00254747
0.000233331	11.05051969
0.000234444	11.09815171
0.000235553	11.14539964
0.000236667	11.19193268
0.000237775	11.23554539
0.000238889	11.27945655
0.000239998	11.25223889
0.000241111	11.22557241
0.00024222	11.19908252
0.000243333	11.17273083
0.000244442	11.21747328
0.000245556	11.26369198
0.000246664	11.30954228
0.000247778	11.35522448
0.000248886	11.40089982
0.00025	11.44627128
0.000251109	11.49135817
0.000252222	11.46350264
0.000253331	11.50897532
0.000254444	11.55376157
0.000255553	11.59833157
0.000256667	11.64263279
0.000257775	11.68499229
0.000258889	11.72977988
0.000259997	11.77450594
0.000261111	11.81883331
0.00026222	11.79094801
0.000263333	11.76367565
0.000264442	11.73659813
0.000265556	11.70977785
0.000266664	11.75521955
0.000267778	11.80031482
0.000268886	11.84516113
0.00027	11.88942633
0.000271108	11.93308996
0.000272222	11.97663571
0.000273331	12.01982968
0.000274444	12.06278306
0.000275553	12.03428881
0.000276667	12.07773387
0.000277775	12.12034285
0.000278889	12.16274531
0.000279997	12.20483515
0.000281111	12.24684806
0.000282219	12.28879399
0.000283333	12.3331911
0.000284442	12.30426136
0.000285556	12.27605368
0.000286664	12.24807321
0.000287778	12.22029588
0.000288886	12.1926784
0.00029	12.23862649
0.000291108	12.2810875
0.000292222	12.32295118
0.00029333	12.36476074
0.000294444	12.40664991
0.000295553	12.44865748
0.000296667	12.49074372
0.000297775	12.46138123
0.000298889	12.50428618
0.000299997	12.54664899
0.000301111	12.58892154
0.000302219	12.63091608
0.000303333	12.67265619
0.000304441	12.71438348
0.000305556	12.75606744
0.000306664	12.80165197
0.000307778	12.77138877
0.000308886	12.74180666
0.00031	12.71247717
0.000311108	12.68339742
0.000312222	12.73058103
0.00031333	12.77342162
0.000314444	12.81574548
0.000315552	12.8580262
0.000316667	12.90034106
0.000317775	12.9425916
0.000318889	12.98481164
0.000319997	13.02690816
0.000321111	12.99682215
0.000322219	13.03961196
0.000323333	13.08163645
0.000324441	13.12373337
0.000325556	13.1657636
0.000326663	13.20759933
0.000327778	13.24931222
0.000328886	13.29622329
0.00033	13.26563193
0.000331108	13.23573815
0.000332222	13.20605502
0.00033333	13.17655008
0.000334444	13.14726707
0.000335552	13.1957469
0.000336667	13.23786201
0.000337774	13.27949305
0.000338889	13.32105886
0.000339997	13.36239772
0.000341111	13.40354786
0.000342219	13.44453105
0.000343333	13.41376695
0.000344441	13.45537333
0.000345556	13.49620066
0.000346663	13.5369013
0.000347778	13.57767005
0.000348885	13.61842481
0.00035	13.65910927
0.000351108	13.69968037
0.000352222	13.74749483
0.00035333	13.71611903
0.000354444	13.68561048
0.000355552	13.65541105
0.000356667	13.62544181
0.000357774	13.6748453
0.000358889	13.71610327
0.000359996	13.75719999
0.000361111	13.79841563
0.000362219	13.83984908
0.000363333	13.88100319
0.000364441	13.92117983
0.000365556	13.96299936
0.000366663	13.93164254
0.000367778	13.97489811
0.000368885	14.0177973
0.00037	14.06066457
0.000371107	14.10375656
0.000372222	14.14678263
0.00037333	14.19007642
0.000374444	14.24136415
0.000375552	14.20977353
0.000376667	14.17878301
0.000377774	14.14801197
0.000378889	14.11743745
0.000379996	14.08707097
0.000381111	14.13977785
0.000382218	14.18455851
0.000383333	14.22917269
0.000384441	14.27387587
0.000385556	14.3189511
0.000386663	14.3642338
0.000387778	14.40968514
0.000388885	14.37815436
0.00039	14.42445659
0.000391107	14.47042819
0.000392222	14.51699236
0.000393329	14.56360449
0.000394444	14.61038248
0.000395552	14.65712969
0.000396667	14.70434933
0.000397774	14.67206349
0.000398889	14.64067932
0.000399996	14.60954878
0.000401111	14.57866111
0.000402218	14.54801493
0.000403333	14.60347653
0.00040444	14.6520455
0.000405556	14.70055306
0.000406663	14.74949668
0.000407778	14.7986648
0.000408885	14.84822162
0.00041	14.89825817
0.000411107	14.94843784
0.000412222	14.91633553
0.000413329	14.96742859
0.000414444	15.01790487
0.000415551	15.06881673
0.000416667	15.11762877
0.000417774	15.16978546
0.000418889	15.2223394
0.000419996	15.27959457
0.000421111	15.24702807
0.000422218	15.21544044
0.000423333	15.18420545
0.00042444	15.15322997
0.000425556	15.12247537
0.000426662	15.17757718
0.000427778	15.23213716
0.000428885	15.28674504
0.00043	15.34153338
0.000431107	15.3968406
0.000432222	15.45272835
0.000433329	15.5086816
0.000434444	15.4763347
0.000435551	15.53362469
0.000436667	15.59056937
0.000437773	15.64789877
0.000438889	15.70533756
0.000439996	15.76299868
0.000441111	15.82164277
0.000442218	15.88259192
0.000443333	15.84945488
0.00044444	15.81756657
0.000445556	15.78599533
0.000446662	15.75464417
0.000447778	15.72351914
0.000448884	15.78741605
0.00045	15.84956663
0.000451107	15.91165285
0.000452222	15.97504969
0.000453329	16.04045179
0.000454444	16.10642691
0.000455551	16.17289143
0.000456667	16.23987524
0.000457773	16.30754683
0.000458889	16.37617719
0.000459995	16.44519003
0.000461111	16.51438523
0.000462218	16.58361523
0.000463333	16.65280511
0.00046444	16.72221437
0.000465556	16.78898632
0.000466662	16.75485283
0.000467778	16.72225505
0.000468884	16.68798758
0.00047	16.65608547
0.000471106	16.62438949
0.000472222	16.69764722
0.000473329	16.77002399
0.000474444	16.84696293
0.000475551	16.9243614
0.000476667	17.00223691
0.000477773	17.080699
0.000478889	17.16097536
0.000479995	17.12692961
0.000481111	17.21096354
0.000482217	17.29404582
0.000483333	17.37754083
0.00048444	17.46109032
0.000485556	17.54474599
0.000486662	17.62881764
0.000487778	17.71417431
0.000488884	17.67927829
0.00049	17.64636899
0.000491106	17.61376885
0.000492222	17.58141812
0.000493328	17.54930439
0.000494444	17.62722683
0.000495551	17.71476363
0.000496667	17.8018896
0.000497773	17.88949068
0.000498889	17.97770516
0.000499995	18.06727559
0.000501111	18.1570582
0.000502217	18.12177204
0.000503333	18.2140036
0.000504439	18.30572051
0.000505556	18.39816958
0.000506662	18.49185021
