tetrahedron
//Number_of_Node
147
//Number_of_Element
310
//Number_of_Region
2
//Factor
1000.0
54,43,2,44,
11,54,2,12,
11,43,54,53,
11,2,43,1,
54,2,43,11,
55,44,3,45,
12,55,3,13,
12,44,55,54,
12,3,44,2,
55,3,44,12,
56,45,4,46,
13,56,4,14,
13,45,56,55,
13,4,45,3,
56,4,45,13,
57,46,5,47,
14,57,5,15,
14,46,57,56,
14,5,46,4,
57,5,46,14,
58,47,6,48,
15,58,6,16,
15,47,58,57,
15,6,47,5,
58,6,47,15,
59,48,7,49,
16,59,7,17,
16,48,59,58,
16,7,48,6,
59,7,48,16,
60,49,8,50,
17,60,8,18,
17,49,60,59,
17,8,49,7,
60,8,49,17,
64,53,12,54,
21,64,12,22,
21,53,64,63,
21,12,53,11,
64,12,53,21,
65,54,13,55,
22,65,13,23,
22,54,65,64,
22,13,54,12,
65,13,54,22,
66,55,14,56,
23,66,14,24,
23,55,66,65,
23,14,55,13,
66,14,55,23,
67,56,15,57,
24,67,15,25,
24,56,67,66,
24,15,56,14,
67,15,56,24,
68,57,16,58,
25,68,16,26,
25,57,68,67,
25,16,57,15,
68,16,57,25,
69,58,17,59,
26,69,17,27,
26,58,69,68,
26,17,58,16,
69,17,58,26,
70,59,18,60,
27,70,18,28,
27,59,70,69,
27,18,59,17,
70,18,59,27,
61,50,9,51,
18,61,9,19,
18,50,61,60,
18,9,50,8,
61,9,50,18,
62,51,10,52,
19,62,10,20,
19,51,62,61,
19,10,51,9,
62,10,51,19,
71,60,19,61,
28,71,19,29,
28,60,71,70,
28,19,60,18,
71,19,60,28,
72,61,20,62,
29,72,20,30,
29,61,72,71,
29,20,61,19,
72,20,61,29,
74,70,29,71,
31,74,29,32,
31,70,74,73,
31,29,70,28,
74,29,70,31,
75,71,30,72,
32,75,30,33,
32,71,75,74,
32,30,71,29,
75,30,71,32,
77,73,32,74,
34,77,32,35,
34,73,77,76,
34,32,73,31,
77,32,73,34,
78,74,33,75,
35,78,33,36,
35,74,78,77,
35,33,74,32,
78,33,74,35,
80,76,35,77,
37,80,35,38,
37,76,80,79,
37,35,76,34,
80,35,76,37,
81,77,36,78,
38,81,36,39,
38,77,81,80,
38,36,77,35,
81,36,77,38,
83,79,38,80,
40,83,38,41,
40,79,83,82,
40,38,79,37,
83,38,79,40,
84,80,39,81,
41,84,39,42,
41,80,84,83,
41,39,80,38,
84,39,80,41,
89,85,51,86,
60,89,51,61,
60,85,89,88,
60,51,85,50,
89,51,85,60,
90,86,52,87,
61,90,52,62,
61,86,90,89,
61,52,86,51,
90,52,86,61,
92,88,61,89,
70,92,61,71,
70,88,92,91,
70,61,88,60,
92,61,88,70,
93,89,62,90,
71,93,62,72,
71,89,93,92,
71,62,89,61,
93,62,89,71,
95,91,71,92,
73,95,71,74,
73,91,95,94,
73,71,91,70,
95,71,91,73,
96,92,72,93,
74,96,72,75,
74,92,96,95,
74,72,92,71,
96,72,92,74,
98,94,74,95,
76,98,74,77,
76,94,98,97,
76,74,94,73,
98,74,94,76,
99,95,75,96,
77,99,75,78,
77,95,99,98,
77,75,95,74,
99,75,95,77,
101,97,77,98,
79,101,77,80,
79,97,101,100,
79,77,97,76,
101,77,97,79,
102,98,78,99,
80,102,78,81,
80,98,102,101,
80,78,98,77,
102,78,98,80,
104,100,80,101,
82,104,80,83,
82,100,104,103,
82,80,100,79,
104,80,100,82,
105,101,81,102,
83,105,81,84,
83,101,105,104,
83,81,101,80,
105,81,101,83,
110,106,86,107,
88,110,86,89,
88,106,110,109,
88,86,106,85,
110,86,106,88,
111,107,87,108,
89,111,87,90,
89,107,111,110,
89,87,107,86,
111,87,107,89,
113,109,89,110,
91,113,89,92,
91,109,113,112,
91,89,109,88,
113,89,109,91,
114,110,90,111,
92,114,90,93,
92,110,114,113,
92,90,110,89,
114,90,110,92,
116,112,92,113,
94,116,92,95,
94,112,116,115,
94,92,112,91,
116,92,112,94,
117,113,93,114,
95,117,93,96,
95,113,117,116,
95,93,113,92,
117,93,113,95,
119,115,95,116,
97,119,95,98,
97,115,119,118,
97,95,115,94,
119,95,115,97,
120,116,96,117,
98,120,96,99,
98,116,120,119,
98,96,116,95,
120,96,116,98,
122,118,98,119,
100,122,98,101,
100,118,122,121,
100,98,118,97,
122,98,118,100,
123,119,99,120,
101,123,99,102,
101,119,123,122,
101,99,119,98,
123,99,119,101,
125,121,101,122,
103,125,101,104,
103,121,125,124,
103,101,121,100,
125,101,121,103,
126,122,102,123,
104,126,102,105,
104,122,126,125,
104,102,122,101,
126,102,122,104,
131,127,107,128,
109,131,107,110,
109,127,131,130,
109,107,127,106,
131,107,127,109,
132,128,108,129,
110,132,108,111,
110,128,132,131,
110,108,128,107,
132,108,128,110,
134,130,110,131,
112,134,110,113,
112,130,134,133,
112,110,130,109,
134,110,130,112,
135,131,111,132,
113,135,111,114,
113,131,135,134,
113,111,131,110,
135,111,131,113,
137,133,113,134,
115,137,113,116,
115,133,137,136,
115,113,133,112,
137,113,133,115,
138,134,114,135,
116,138,114,117,
116,134,138,137,
116,114,134,113,
138,114,134,116,
140,136,116,137,
118,140,116,119,
118,136,140,139,
118,116,136,115,
140,116,136,118,
141,137,117,138,
119,141,117,120,
119,137,141,140,
119,117,137,116,
141,117,137,119,
143,139,119,140,
121,143,119,122,
121,139,143,142,
121,119,139,118,
143,119,139,121,
144,140,120,141,
122,144,120,123,
122,140,144,143,
122,120,140,119,
144,120,140,122,
146,142,122,143,
124,146,122,125,
124,142,146,145,
124,122,142,121,
146,122,142,124,
147,143,123,144,
125,147,123,126,
125,143,147,146,
125,123,143,122,
147,123,143,125,
0.0000 ,0.0000 ,0.0000 ,
10.0000 ,0.0000 ,0.0000 ,
25.0000 ,0.0000 ,0.0000 ,
41.6667 ,0.0000 ,0.0000 ,
58.3333 ,0.0000 ,0.0000 ,
75.0000 ,0.0000 ,0.0000 ,
90.0000 ,0.0000 ,0.0000 ,
100.0000 ,0.0000 ,0.0000 ,
110.0000 ,0.0000 ,0.0000 ,
120.0000 ,0.0000 ,0.0000 ,
0.0000 ,10.0000 ,0.0000 ,
10.0000 ,10.0000 ,0.0000 ,
25.0000 ,10.0000 ,0.0000 ,
41.6667 ,10.0000 ,0.0000 ,
58.3333 ,10.0000 ,0.0000 ,
75.0000 ,10.0000 ,0.0000 ,
90.0000 ,10.0000 ,0.0000 ,
100.0000 ,10.0000 ,0.0000 ,
110.0000 ,10.0000 ,0.0000 ,
120.0000 ,10.0000 ,0.0000 ,
0.0000 ,20.0000 ,0.0000 ,
10.0000 ,20.0000 ,0.0000 ,
25.0000 ,20.0000 ,0.0000 ,
41.6667 ,20.0000 ,0.0000 ,
58.3333 ,20.0000 ,0.0000 ,
75.0000 ,20.0000 ,0.0000 ,
90.0000 ,20.0000 ,0.0000 ,
100.0000 ,20.0000 ,0.0000 ,
110.0000 ,20.0000 ,0.0000 ,
120.0000 ,20.0000 ,0.0000 ,
100.0000 ,30.0000 ,0.0000 ,
110.0000 ,30.0000 ,0.0000 ,
120.0000 ,30.0000 ,0.0000 ,
100.0000 ,45.0000 ,0.0000 ,
110.0000 ,45.0000 ,0.0000 ,
120.0000 ,45.0000 ,0.0000 ,
100.0000 ,60.0000 ,0.0000 ,
110.0000 ,60.0000 ,0.0000 ,
120.0000 ,60.0000 ,0.0000 ,
100.0000 ,70.0000 ,0.0000 ,
110.0000 ,70.0000 ,0.0000 ,
120.0000 ,70.0000 ,0.0000 ,
0.0000 ,0.0000 ,10.0000 ,
10.0000 ,0.0000 ,10.0000 ,
25.0000 ,0.0000 ,10.0000 ,
41.6667 ,0.0000 ,10.0000 ,
58.3333 ,0.0000 ,10.0000 ,
75.0000 ,0.0000 ,10.0000 ,
90.0000 ,0.0000 ,10.0000 ,
100.0000 ,0.0000 ,10.0000 ,
110.0000 ,0.0000 ,10.0000 ,
120.0000 ,0.0000 ,10.0000 ,
0.0000 ,10.0000 ,10.0000 ,
10.0000 ,10.0000 ,10.0000 ,
25.0000 ,10.0000 ,10.0000 ,
41.6667 ,10.0000 ,10.0000 ,
58.3333 ,10.0000 ,10.0000 ,
75.0000 ,10.0000 ,10.0000 ,
90.0000 ,10.0000 ,10.0000 ,
100.0000 ,10.0000 ,10.0000 ,
110.0000 ,10.0000 ,10.0000 ,
120.0000 ,10.0000 ,10.0000 ,
0.0000 ,20.0000 ,10.0000 ,
10.0000 ,20.0000 ,10.0000 ,
25.0000 ,20.0000 ,10.0000 ,
41.6667 ,20.0000 ,10.0000 ,
58.3333 ,20.0000 ,10.0000 ,
75.0000 ,20.0000 ,10.0000 ,
90.0000 ,20.0000 ,10.0000 ,
100.0000 ,20.0000 ,10.0000 ,
110.0000 ,20.0000 ,10.0000 ,
120.0000 ,20.0000 ,10.0000 ,
100.0000 ,30.0000 ,10.0000 ,
110.0000 ,30.0000 ,10.0000 ,
120.0000 ,30.0000 ,10.0000 ,
100.0000 ,45.0000 ,10.0000 ,
110.0000 ,45.0000 ,10.0000 ,
120.0000 ,45.0000 ,10.0000 ,
100.0000 ,60.0000 ,10.0000 ,
110.0000 ,60.0000 ,10.0000 ,
120.0000 ,60.0000 ,10.0000 ,
100.0000 ,70.0000 ,10.0000 ,
110.0000 ,70.0000 ,10.0000 ,
120.0000 ,70.0000 ,10.0000 ,
100.0000 ,0.0000 ,20.0000 ,
110.0000 ,0.0000 ,20.0000 ,
120.0000 ,0.0000 ,20.0000 ,
100.0000 ,10.0000 ,20.0000 ,
110.0000 ,10.0000 ,20.0000 ,
120.0000 ,10.0000 ,20.0000 ,
100.0000 ,20.0000 ,20.0000 ,
110.0000 ,20.0000 ,20.0000 ,
120.0000 ,20.0000 ,20.0000 ,
100.0000 ,30.0000 ,20.0000 ,
110.0000 ,30.0000 ,20.0000 ,
120.0000 ,30.0000 ,20.0000 ,
100.0000 ,45.0000 ,20.0000 ,
110.0000 ,45.0000 ,20.0000 ,
120.0000 ,45.0000 ,20.0000 ,
100.0000 ,60.0000 ,20.0000 ,
110.0000 ,60.0000 ,20.0000 ,
120.0000 ,60.0000 ,20.0000 ,
100.0000 ,70.0000 ,20.0000 ,
110.0000 ,70.0000 ,20.0000 ,
120.0000 ,70.0000 ,20.0000 ,
100.0000 ,0.0000 ,30.0000 ,
110.0000 ,0.0000 ,30.0000 ,
120.0000 ,0.0000 ,30.0000 ,
100.0000 ,10.0000 ,30.0000 ,
110.0000 ,10.0000 ,30.0000 ,
120.0000 ,10.0000 ,30.0000 ,
100.0000 ,20.0000 ,30.0000 ,
110.0000 ,20.0000 ,30.0000 ,
120.0000 ,20.0000 ,30.0000 ,
100.0000 ,30.0000 ,30.0000 ,
110.0000 ,30.0000 ,30.0000 ,
120.0000 ,30.0000 ,30.0000 ,
100.0000 ,45.0000 ,30.0000 ,
110.0000 ,45.0000 ,30.0000 ,
120.0000 ,45.0000 ,30.0000 ,
100.0000 ,60.0000 ,30.0000 ,
110.0000 ,60.0000 ,30.0000 ,
120.0000 ,60.0000 ,30.0000 ,
100.0000 ,70.0000 ,30.0000 ,
110.0000 ,70.0000 ,30.0000 ,
120.0000 ,70.0000 ,30.0000 ,
100.0000 ,0.0000 ,40.0000 ,
110.0000 ,0.0000 ,40.0000 ,
120.0000 ,0.0000 ,40.0000 ,
100.0000 ,10.0000 ,40.0000 ,
110.0000 ,10.0000 ,40.0000 ,
120.0000 ,10.0000 ,40.0000 ,
100.0000 ,20.0000 ,40.0000 ,
110.0000 ,20.0000 ,40.0000 ,
120.0000 ,20.0000 ,40.0000 ,
100.0000 ,30.0000 ,40.0000 ,
110.0000 ,30.0000 ,40.0000 ,
120.0000 ,30.0000 ,40.0000 ,
100.0000 ,45.0000 ,40.0000 ,
110.0000 ,45.0000 ,40.0000 ,
120.0000 ,45.0000 ,40.0000 ,
100.0000 ,60.0000 ,40.0000 ,
110.0000 ,60.0000 ,40.0000 ,
120.0000 ,60.0000 ,40.0000 ,
100.0000 ,70.0000 ,40.0000 ,
110.0000 ,70.0000 ,40.0000 ,
120.0000 ,70.0000 ,40.0000 ,
1,70,outPM
71,310,hhh
